rank,host,total_wall_seconds,coarse_points,coarse_surface_elements,coarse_volume_elements,facemap_entries,physical_boundary_faces,partition_boundary_faces,local_points_before_adjacency,local_surface_elements_before_adjacency,local_volume_elements_before_adjacency,shared_vertices,adjacent_processes,vertex_send_items,vertex_receive_items,volume_send_items,volume_receive_items,local_points_after_adjacency,local_surface_elements_after_adjacency,local_volume_elements_after_adjacency,peak_rss_mib,hardware_cache_available,process_io_available
0,cn3185,143.137001849,8067,12694,26411,13639,12694,945,663447,267264,3571520,13250,2,13250,0,25881,25942,674152,267264,3597462,1702.765625,0,1
1,cn3186,138.947266823,8067,12694,26411,13639,12694,945,547881,244224,2912896,13386,2,5977,7409,26241,26155,559132,244224,2939051,1456.9453125,0,1
2,cn3187,139.320108149,8067,12694,26411,13639,12694,945,469443,201728,2507456,17290,3,17245,47,33837,33961,483410,201728,2541417,1347.22265625,0,1
3,cn3188,138.368296333,8067,12694,26411,13639,12694,945,421403,176128,2258624,16778,2,0,16778,32905,32883,435401,176128,2291507,1275.09375,0,1
4,cn3189,142.111531073,8067,12694,26411,13639,12694,945,609843,236032,3297344,12234,3,12247,2,23494,23455,620261,236032,3320799,1557.71875,0,1
5,cn3190,141.484634584,8067,12694,26411,13639,12694,945,585725,272896,3095808,15098,2,7801,7297,29243,29304,598120,272896,3125112,1577.1328125,0,1
6,cn3191,141.182805872,8067,12694,26411,13639,12694,945,565457,253440,3004672,18994,3,7694,11347,37364,37313,581048,253440,3041985,1485.34765625,0,1
7,cn3192,141.069931391,8067,12694,26411,13639,12694,945,559225,230400,3002624,10545,2,0,10545,20736,20674,567734,230400,3023298,1476.77734375,0,1
8,cn3193,140.860335187,8067,12694,26411,13639,12694,945,542505,217600,2921600,17866,2,12025,5841,34992,35015,557141,217600,2956615,1454.5390625,0,1
9,cn3194,141.208749749,8067,12694,26411,13639,12694,945,564707,247808,3007808,26450,3,14458,12025,51740,51796,586545,247808,3059604,1485.54296875,0,1
10,cn3195,141.941430562,8067,12694,26411,13639,12694,945,605333,253440,3243776,15106,3,8328,6794,29460,29415,617804,253440,3273191,1546.58984375,0,1
11,cn3196,141.252243087,8067,12694,26411,13639,12694,945,568848,247296,3033664,13842,3,3762,10113,26977,26812,580213,247296,3060476,1490.21875,0,1
12,cn3197,138.916206829,8067,12694,26411,13639,12694,945,443929,178688,2389888,16026,2,16026,0,31242,31220,457285,178688,2421108,1307.1875,0,1
13,cn3198,141.952866754,8067,12694,26411,13639,12694,945,607749,251904,3260672,15770,3,0,15770,30707,30833,620736,251904,3291505,1560.29296875,0,1
14,cn3199,136.621192702,8067,12694,26411,13639,12694,945,473361,205312,2525312,17186,3,6476,10712,33564,33566,487358,205312,2558878,1347.07421875,0,1
15,cn3200,139.158668599,8067,12694,26411,13639,12694,945,601291,249344,3226176,10609,2,0,10609,20612,20651,610058,249344,3246827,1540.2578125,0,1
