rank,host,total_wall_seconds,coarse_points,coarse_surface_elements,coarse_volume_elements,facemap_entries,physical_boundary_faces,partition_boundary_faces,local_points_before_adjacency,local_surface_elements_before_adjacency,local_volume_elements_before_adjacency,shared_vertices,adjacent_processes,vertex_send_items,vertex_receive_items,volume_send_items,volume_receive_items,local_points_after_adjacency,local_surface_elements_after_adjacency,local_volume_elements_after_adjacency,peak_rss_mib,hardware_cache_available,process_io_available
0,cn3185,143.94656325,8067,12694,26411,13639,12694,945,663447,267264,3571520,13250,2,13250,0,25881,25942,674152,267264,3597462,1708.22265625,0,1
1,cn3186,139.5887917,8067,12694,26411,13639,12694,945,547881,244224,2912896,13386,2,5977,7409,26241,26155,559132,244224,2939051,1456.21484375,0,1
2,cn3187,140.178612464,8067,12694,26411,13639,12694,945,469443,201728,2507456,17290,3,17245,47,33837,33961,483410,201728,2541417,1349.7890625,0,1
3,cn3188,139.30757009,8067,12694,26411,13639,12694,945,421403,176128,2258624,16778,2,0,16778,32905,32883,435401,176128,2291507,1276.1328125,0,1
4,cn3189,142.982656785,8067,12694,26411,13639,12694,945,609843,236032,3297344,12234,3,12247,2,23494,23455,620261,236032,3320799,1556.9921875,0,1
5,cn3190,142.385898841,8067,12694,26411,13639,12694,945,585725,272896,3095808,15098,2,7801,7297,29243,29304,598120,272896,3125112,1576.97265625,0,1
6,cn3191,142.062508868,8067,12694,26411,13639,12694,945,565457,253440,3004672,18994,3,7694,11347,37364,37313,581048,253440,3041985,1493.4609375,0,1
7,cn3192,141.974974271,8067,12694,26411,13639,12694,945,559225,230400,3002624,10545,2,0,10545,20736,20674,567734,230400,3023298,1476.76953125,0,1
8,cn3193,141.794078643,8067,12694,26411,13639,12694,945,542505,217600,2921600,17866,2,12025,5841,34992,35015,557141,217600,2956615,1461.01953125,0,1
9,cn3194,142.196908943,8067,12694,26411,13639,12694,945,564707,247808,3007808,26450,3,14458,12025,51740,51796,586545,247808,3059604,1485.87890625,0,1
10,cn3195,142.872634288,8067,12694,26411,13639,12694,945,605333,253440,3243776,15106,3,8328,6794,29460,29415,617804,253440,3273191,1546.82421875,0,1
11,cn3196,142.039911004,8067,12694,26411,13639,12694,945,568848,247296,3033664,13842,3,3762,10113,26977,26812,580213,247296,3060476,1490.953125,0,1
12,cn3197,139.778762324,8067,12694,26411,13639,12694,945,443929,178688,2389888,16026,2,16026,0,31242,31220,457285,178688,2421108,1305.34375,0,1
13,cn3198,142.961826766,8067,12694,26411,13639,12694,945,607749,251904,3260672,15770,3,0,15770,30707,30833,620736,251904,3291505,1556.7421875,0,1
14,cn3199,137.429250327,8067,12694,26411,13639,12694,945,473361,205312,2525312,17186,3,6476,10712,33564,33566,487358,205312,2558878,1347.296875,0,1
15,cn3200,139.920914657,8067,12694,26411,13639,12694,945,601291,249344,3226176,10609,2,0,10609,20612,20651,610058,249344,3246827,1548.4609375,0,1
