rank,host,total_wall_seconds,coarse_points,coarse_surface_elements,coarse_volume_elements,facemap_entries,physical_boundary_faces,partition_boundary_faces,local_points_before_adjacency,local_surface_elements_before_adjacency,local_volume_elements_before_adjacency,shared_vertices,adjacent_processes,vertex_send_items,vertex_receive_items,volume_send_items,volume_receive_items,local_points_after_adjacency,local_surface_elements_after_adjacency,local_volume_elements_after_adjacency,peak_rss_mib,hardware_cache_available,process_io_available
0,cn4988,37.185483908,8067,12694,26411,16427,12694,3733,70989,38400,366848,11192,10,11235,119,21897,22035,80244,38400,388883,300.53515625,0,1
1,cn4989,37.196322867,8067,12694,26411,16427,12694,3733,89075,46080,463424,6641,5,4033,2657,12922,12956,94585,46080,476380,304.84375,0,1
2,cn4990,37.153422846,8067,12694,26411,16427,12694,3733,75839,38912,395200,5313,5,3899,1464,10358,10336,80218,38912,405536,282.98046875,0,1
3,cn4991,37.140931421,8067,12694,26411,16427,12694,3733,68537,38400,351872,3745,4,1347,2416,7248,7231,71652,38400,359103,259.48046875,0,1
4,cn4992,37.18426258,8067,12694,26411,16427,12694,3733,63229,36864,322560,13039,8,9346,3839,25835,25839,74122,36864,348399,300.98046875,0,1
5,cn4993,37.187089008,8067,12694,26411,16427,12694,3733,49901,29696,253568,10024,7,7148,3036,19959,19874,58446,29696,273442,300.984375,0,1
6,cn4994,37.208042892,8067,12694,26411,16427,12694,3733,106317,51200,559104,4817,5,1524,3323,9258,9249,110400,51200,568353,350.12890625,0,1
7,cn4995,37.168740373,8067,12694,26411,16427,12694,3733,77295,43008,397632,7801,7,2269,5551,15202,15233,83868,43008,412865,294.03515625,0,1
8,cn4996,37.174382871,8067,12694,26411,16427,12694,3733,64251,35840,330304,10800,8,7984,2947,21235,21164,73275,35840,351468,289.44140625,0,1
9,cn4997,37.152302485,8067,12694,26411,16427,12694,3733,81135,39936,425280,3897,3,984,2929,7491,7536,84200,39936,432816,284.71484375,0,1
10,cn4998,37.166143238,8067,12694,26411,16427,12694,3733,67455,35328,350272,9520,6,5327,4258,18648,18646,75438,35328,368918,258.9609375,0,1
11,cn4999,37.162763944,8067,12694,26411,16427,12694,3733,88847,48128,458816,3145,3,684,2463,5924,5888,91495,48128,464704,276.953125,0,1
