rank,host,total_wall_seconds,coarse_points,coarse_surface_elements,coarse_volume_elements,facemap_entries,physical_boundary_faces,partition_boundary_faces,local_points_before_adjacency,local_surface_elements_before_adjacency,local_volume_elements_before_adjacency,shared_vertices,adjacent_processes,vertex_send_items,vertex_receive_items,volume_send_items,volume_receive_items,local_points_after_adjacency,local_surface_elements_after_adjacency,local_volume_elements_after_adjacency,peak_rss_mib,hardware_cache_available,process_io_available
0,cn2624,261.451100521,8067,12694,26411,13195,12694,501,951523,359936,5158464,15738,2,15738,0,30775,30850,964503,359936,5189314,2561.24609375,0,1
1,cn2625,239.12519435,8067,12694,26411,13195,12694,501,1182785,489984,6345728,18427,2,8002,10425,36161,35992,1197843,489984,6381720,2901.97265625,0,1
2,cn2626,260.318805406,8067,12694,26411,13195,12694,501,1100974,428032,5950592,18427,2,10425,8002,36017,36159,1115839,428032,5986751,2792.4765625,0,1
3,cn2627,261.307461019,8067,12694,26411,13195,12694,501,1129682,444416,6097024,17643,2,7218,10425,34501,34370,1144168,444416,6131394,2834.04296875,0,1
4,cn2628,271.821158103,8067,12694,26411,13195,12694,501,1452489,473088,8020864,12442,2,12442,0,24246,24000,1462813,473088,8044864,3347.296875,0,1
5,cn2629,260.50184621,8067,12694,26411,13195,12694,501,1163961,465920,6270336,10330,2,0,10330,19878,19959,1172629,465920,6290295,2884.93359375,0,1
6,cn2630,255.134828703,8067,12694,26411,13195,12694,501,910133,343040,4936064,12770,1,12770,0,24826,24862,920655,343040,4960926,2501.59375,0,1
7,cn2631,259.115772386,8067,12694,26411,13195,12694,501,1120600,501760,5953600,27413,3,0,27413,53197,53409,1143242,501760,6007009,2802.42578125,0,1
