algorithm,timing,ranks,partition_seed,repeat,core_seconds,face_pipeline_seconds,face_exchange_seconds,vertex_wait_seconds,compute_imbalance,element_imbalance,volume_elements_sum,face_payload_receive_bytes,predicted_actual_correlation,compute_wait_correlation,cut_before,cut_after,partition_moves,task_count,task_signature,active_workers,compute_max_seconds,compute_mean_seconds,task_cross_node_faces_before,task_cross_node_faces_after,task_cross_node_faces_limit,task_moved_between_nodes,task_completion_wait_max_seconds,task_dispatch_max_seconds,task_geometry_setup_max_seconds,task_merge_max_seconds,metis_partition_max_seconds,task_control_receive_bytes
balance,natural,1024,41,1,118.14757330200001,0.8363322640000206,0.7190315429999714,,2.581555304898966,2.1022484999858198,3718962176,4971395352,,,0,0,0,16384,4af0a68226382bca,1023,101.70361133900002,39.39625509707234,15206,16726,16726,787,86.076603363,0.15104041600000073,0.4360277829999859,0.05679427799998393,2.9815119450000225,336121804
balance,natural,1024,41,2,111.41933045099995,0.838632385999972,0.7223647220000657,,2.4161995340722413,2.1171920582609336,3718962176,4971395352,,,0,0,0,16384,4af0a68226382bca,1023,95.4025546520013,39.48455138190126,15206,16726,16726,755,80.12738340500005,0.15762674299980972,0.43661212500001056,0.05191452899998694,2.975541049999947,336121804
balance,natural,1024,41,3,110.83049394,0.8594365030003246,0.7414642200001254,,2.3855374602766117,2.162868594875432,3718962176,4971395352,,,0,0,0,16384,4af0a68226382bca,1023,94.2262593180003,39.4989644417801,15206,16726,16726,778,78.32722414199998,0.14502561100107414,0.4353992390001622,0.06365145400013716,2.9141476310001053,336121804
balance,natural,1024,41,4,109.55779714999997,0.8473010860000159,0.7228785499999617,,2.4086963482113957,2.024288238418481,3718962176,4971395352,,,0,0,0,16384,4af0a68226382bca,1023,95.11031111700004,39.48621883685142,15206,16726,16726,749,79.78395964700002,0.13580956000001265,0.43697654999999713,0.05193596300000536,2.970409160999992,336121804
balance,natural,1024,41,5,118.4152284270001,0.8441900339998938,0.7273146549998728,,2.452260416890734,2.324992104463931,3718962176,4971395352,,,0,0,0,16384,4af0a68226382bca,1023,96.8844901670002,39.508238806807405,15206,16726,16726,780,82.36805343299989,0.14117933299985452,0.43643632600014826,0.06476520699993671,2.9465841210001145,336121804
balance,split,1024,41,1,114.03162765499997,0.853816998999946,0.7288458389999732,9.123731831999976,2.4628036536358935,2.148770898389476,3718962176,4971395352,,-0.251003796030071,0,0,0,16384,4af0a68226382bca,1023,97.17351451999946,39.45646027304693,15206,16726,16726,796,82.03954268799998,0.1361054140000988,0.4366691149999724,0.05981174600003669,2.926304951999896,336121804
balance,split,1024,41,2,109.83426863100021,0.8405337039998813,0.7169727169998623,7.781955640999968,2.441293585053725,1.5840171771620621,3718962176,4971395352,,-0.2376015022478467,0,0,0,16384,4af0a68226382bca,1023,96.58201107400009,39.56181741733231,15206,16726,16726,797,81.38906001099986,0.13671285200007333,0.45874048200039397,0.04512130300008721,2.9396756950000054,336121804
balance,split,1024,41,3,111.44693596600018,0.8630043530001785,0.7162688980001803,8.181480194000414,2.44368927191643,2.1119759105611298,3718962176,4971395352,,-0.2389026366353784,0,0,0,16384,4af0a68226382bca,1023,96.63742880500149,39.54571062515445,15206,16726,16726,789,81.32255910599997,0.1421889590005776,0.4383937539996623,0.051140889999715,2.940343960000064,336121804
balance,split,1024,41,4,114.03641975099993,0.8570946080000112,0.7219830509999383,9.55295644499995,2.4000304294874493,2.216862772416645,3718962176,4971395352,,-0.23565562001994964,0,0,0,16384,4af0a68226382bca,1023,94.88658732600027,39.53557678277615,15206,16726,16726,799,80.10314879300006,0.13715548100003616,0.43788259999996626,0.058869185000048674,2.970294752000086,336121804
balance,split,1024,41,5,113.53075398500005,0.8687356890000046,0.7419859949998227,9.731408311999985,2.4261713168403727,2.17005842008327,3718962176,4971395352,,-0.24079821376572846,0,0,0,16384,4af0a68226382bca,1023,96.03627720500003,39.58346903963445,15206,16726,16726,786,81.70464765500014,0.13646793099951537,0.4359321029999137,0.05945724599996538,2.93601502599995,336121804
baseline,natural,1024,41,1,104.63418907200003,0.8345028630000115,0.7153325079999604,,2.3727405694248294,1.2139526444057063,3718962176,4971395352,,,0,0,0,16384,4af0a68226382bca,1023,93.9504664420001,39.59576013182698,15206,15206,16726,0,66.39402901899996,0.43596690399999716,0.43731158299999606,0.029786567999963154,2.9771969800000306,336121804
baseline,natural,1024,41,2,104.74166924199994,0.8706438789999993,0.7379339379999692,,2.3705137300882666,1.2139526444057063,3718962176,4971395352,,,0,0,0,16384,4af0a68226382bca,1023,93.89503896300039,39.6095739801955,15206,15206,16726,0,66.5991096470002,0.43914210599996295,0.4733877879998545,0.03593108299992309,2.9352324540000154,336121804
baseline,natural,1024,41,3,105.72728720699979,0.8535324710001078,0.7352949059995808,,2.394243342879234,1.2139526444057063,3718962176,4971395352,,,0,0,0,16384,4af0a68226382bca,1023,94.8234231450001,39.6047558937634,15206,15206,16726,0,67.56174173599993,0.436938616999214,0.44202556900017953,0.0397850239996842,2.963040627999817,336121804
baseline,natural,1024,41,4,105.64665768799999,0.8427882039999872,0.7237176829999896,,2.400281749441599,1.2139526444057063,3718962176,4971395352,,,0,0,0,16384,4af0a68226382bca,1023,95.0290867709999,39.59080503491202,15206,15206,16726,0,67.779953563,0.43621712699999193,0.43616878500000666,0.035842325000004394,2.934610976000002,336121804
