algorithm,timing,ranks,repeat,core_seconds,face_pipeline_seconds,face_exchange_seconds,vertex_wait_seconds,compute_imbalance,element_imbalance,volume_elements_sum,face_payload_receive_bytes,predicted_actual_correlation,compute_wait_correlation,cut_before,cut_after,partition_moves,compute_max_seconds,compute_mean_seconds,vertex_wait_mean_seconds,face_completion_spread,vertex_arrival_spread,post_face_compute_max_seconds,face_completion_wait_correlation,partition_adopted,partition_proposed_moves,closure_total_before,closure_total_after,closure_max_before,closure_max_after,candidate_closure_total,candidate_closure_max,seed_max_seconds,candidate_max_seconds,partition_rejection_flags,metis_partition_seconds,partition_cost_setup_seconds,partition_cost_balance_seconds,phase_0_max_seconds,phase_0_prediction_wape,phase_1_max_seconds,phase_1_prediction_wape,phase_2_max_seconds,phase_2_prediction_wape,phase_3_max_seconds,phase_3_prediction_wape
baseline,natural,4096,1,15.480158773000312,3.0701723060001314,2.7914993979998144,,1.5333277764610769,1.6539991294710623,2799585280,19900160280,0.17986598767963838,,20315,20315,0,9.873506898999949,6.4392669659895025,,2.620600758999899,6.683698021000055,9.874322409000342,,0,0,0,0,0,0,0,0,0,0,0,2.5324213869998857,0.39802750699982425,0.032762431999799446,0.07036050099986824,,9.018690578000133,,1.2795198150001852,,0.0678170979999777,
baseline,natural,4096,2,15.325667013000384,2.968003544000112,2.692213711000022,,1.5313792714343977,1.6539991294710623,2799585280,19900160280,0.18182374379058305,,20315,20315,0,9.859655918000499,6.438415421912595,,2.4893468549998943,6.643755910000436,9.860387706999973,,0,0,0,0,0,0,0,0,0,0,0,2.519724576000044,0.3952083130002393,0.03192444099977365,0.06949603199973353,,8.957095669999944,,1.2735065649999342,,0.06736215999990236,
baseline,natural,4096,3,15.321933826000077,3.050454617000014,2.7781092289997105,,1.5412705716284576,1.6539991294710623,2799585280,19900160280,0.1812307927579652,,20315,20315,0,9.924421962999531,6.439117274855707,,2.614092262000213,6.502245878999929,9.925288993000322,,0,0,0,0,0,0,0,0,0,0,0,2.544534655999996,0.391584906999924,0.0329450550002548,0.07173393599941846,,9.030170676000125,,1.2527701169997272,,0.08074416600038603,
baseline,natural,4096,4,15.365936793000401,3.0830407829998876,2.8126371779999317,,1.5396226824291745,1.6539991294710623,2799585280,19900160280,0.17961899018046273,,20315,20315,0,9.913295233000099,6.4387822718740235,,2.5193196269997316,6.563346515000376,9.91463887000009,,0,0,0,0,0,0,0,0,0,0,0,2.5965901530003066,0.3944437430000107,0.03247136900017722,0.06867922299989004,,9.054695527000149,,1.241634324000188,,0.06678571400016153,
baseline,natural,4096,5,15.58106282000017,3.1482074430000466,2.8736197670000365,,1.546005979458569,1.6539991294710623,2799585280,19900160280,0.18092849997287297,,20315,20315,0,9.955862711999544,6.439731051678217,,2.574331858000278,6.6052586509999855,9.957206507999672,,0,0,0,0,0,0,0,0,0,0,0,2.5443998900000224,0.3890274209998097,0.03269283200006612,0.05891238799995335,,8.975765200999831,,1.2497788440000477,,0.06081288500035953,
baseline,split,4096,1,15.618249503999778,3.1429778019996775,2.805124436999904,6.575260526999955,1.538089396290842,1.6539991294710623,2799585280,19900160280,0.17986127517255418,-0.7547887173011658,20315,20315,0,9.906064771999809,6.440500009875006,3.6025302472744096,2.728674226999374,6.57495889799975,9.907336027999918,-0.8184607334188017,0,0,0,0,0,0,0,0,0,0,0,2.5936909840002045,0.39859707499999786,0.0328902129999733,0.04996958600031576,,9.04193113500014,,1.2754605489999449,,0.07328098700008923,
baseline,split,4096,2,15.626615308000055,3.2196169949997966,2.7910820609999973,6.588527066999632,1.5306057764027248,1.6539991294710623,2799585280,19900160280,0.1823506063979571,-0.752132363664979,20315,20315,0,9.85446965600022,6.43828071729906,3.4990175135605455,2.6916643910003586,6.588111835000291,9.855621392000103,-0.8203700897281709,0,0,0,0,0,0,0,0,0,0,0,2.589586846000202,0.39240621699991607,0.032395727000221086,0.06260299899986421,,9.004298330999973,,1.2263309740001205,,0.07312945499961643,
baseline,split,4096,3,15.515033687000141,3.121884247000253,2.7432890750001206,6.597363573999701,1.5340618491539249,1.6539991294710623,2799585280,19900160280,0.18325896027031696,-0.7595081487503104,20315,20315,0,9.87989770700051,6.4403516145385735,3.5933356981586897,2.6394748579996303,6.5970284820000415,9.880808060000163,-0.8190559234872188,0,0,0,0,0,0,0,0,0,0,0,2.540438365999762,0.3890977749997546,0.0324301480000031,0.07255794399998194,,9.024818130999847,,1.3089981589996569,,0.0616250879998006,
baseline,split,4096,4,15.513323866000064,3.1482097430002796,2.759570788000019,6.540663454999958,1.5288255488969251,1.6539991294710623,2799585280,19900160280,0.1765215431054464,-0.7625625530427242,20315,20315,0,9.843812573000378,6.438806952240472,3.574090430280521,2.545326415999625,6.540325072000087,9.84462574400004,-0.8193390074746243,0,0,0,0,0,0,0,0,0,0,0,2.5678877550003563,0.393803761000072,0.03229262700006075,0.050644313000248076,,8.929374681999889,,1.2628415410003981,,0.06781995500023186,
baseline,split,4096,5,15.764009110999723,3.189138139000079,2.8352402109999275,6.799973568000041,1.5332142256561705,1.6539991294710623,2799585280,19900160280,0.18060560882487825,-0.7513344954682453,20315,20315,0,9.873036943999523,6.439437345928717,3.651876848938718,2.7380869819999134,6.799707102999946,9.874276659000316,-0.8248565047742278,0,0,0,0,0,0,0,0,0,0,0,2.569894001999728,0.39638617399987197,0.031975243000033515,0.05995282599951679,,9.0161642449998,,1.2898798510000233,,0.06892565299995113,
